tenure,remote_caring_hrs,productivity_remote,birth_year,industry,expect_employer_changes,expect_more_choice,easy_permission,post_covid_preference,is_manager,response_id,office_working_hrs,remote_working_hrs,household_type,office_personal_hrs,office_caring_hrs,remote_time_last_year,preferred_remote_last_year,gender,occupation,expect_employer_encourage,org_size,remote_personal_hrs,org_prepared,remote_commute_hrs,org_encouraged_remote,remote_was_common,easy_collaboration,year,office_commute_hrs,location
Between 6 and 12 months,2.0,My productivity is about same when I work remotely,1980,Administrative and Support Services,Somewhat agree,Somewhat agree,Strongly agree,70%,No,11,8.0,8.0,Single person,3.0,2.0,Rarely or never ,70%,Female,Clerical and administrative ,Somewhat agree,More than 200,5.0,Strongly agree,0.5,Strongly agree,Neither agree nor disagree,Strongly agree,2020,3.0,Metro
More than 5 years,2.0,I’m 10% more productive when working remotely,1989,Financial and Insurance Services,Somewhat agree,Somewhat agree,Strongly agree,50% - About half of my time,No,12,10.0,12.0,Couple with no dependent children,3.0,2.0,Rarely or never ,40%,Male,Professionals,Somewhat agree,More than 200,4.0,Somewhat agree,0.5,Strongly agree,Strongly agree,Somewhat agree,2020,2.0,Metro
Between 6 and 12 months,1.0,I’m 10% less productive when working remotely,1994,Financial and Insurance Services,Somewhat agree,Strongly agree,Strongly agree,50% - About half of my time,No,13,8.0,9.0,Single person,1.0,1.0,100% - I spent all of my time remote working,50% - About half of my time,Female,Professionals,Somewhat agree,More than 200,2.0,Strongly agree,0.0,Strongly agree,Strongly agree,Strongly agree,2020,2.0,Metro
Between 1 and 5 years,1.0,I’m 50% more productive when working remotely (or more),1970,"Professional, Scientific and Technical Services",Somewhat agree,Somewhat agree,Somewhat agree,80%,Yes,14,12.0,13.0,Couple with no dependent children,4.0,1.0,40%,50% - About half of my time,Female,Managers,Neither agree nor disagree,Between 20 and 199,5.0,Somewhat agree,0.0,Somewhat agree,Somewhat agree,Somewhat agree,2020,1.0,Metro
More than 5 years,2.0,My productivity is about same when I work remotely,1962,Construction,Somewhat agree,Strongly agree,Strongly agree,50% - About half of my time,No,15,5.0,5.0,Couple with dependent children,3.0,2.0,40%,50% - About half of my time,Female,Clerical and administrative ,Strongly agree,Between 5 and 19,4.0,Strongly agree,0.5,Somewhat agree,Neither agree nor disagree,Somewhat agree,2020,1.0,Metro
Between 1 and 5 years,2.0,My productivity is about same when I work remotely,1959,Health Care and Social Assistance,Somewhat agree,Strongly agree,Strongly agree,80%,Yes,16,8.0,9.0,Couple with no dependent children,4.0,1.5,Rarely or never ,50% - About half of my time,Male,Professionals,Somewhat agree,More than 200,6.0,Somewhat agree,0.5,Strongly agree,Strongly agree,Somewhat agree,2020,2.5,Metro
More than 5 years,2.0,I’m 50% more productive when working remotely (or more),1971,"Transport, Postal and Warehousing",Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,50% - About half of my time,No,17,8.0,9.0,Couple with no dependent children,2.0,2.0,Rarely or never ,50% - About half of my time,Female,Clerical and administrative ,Neither agree nor disagree,Between 1 and 4,2.0,Somewhat agree,0.25,Somewhat agree,Somewhat agree,Somewhat agree,2020,0.5,Metro
Between 1 and 5 years,2.0,I’m 30% less productive when working remotely,1960,Financial and Insurance Services,Somewhat agree,Strongly agree,Strongly agree,40%,Yes,18,10.0,12.0,Couple with no dependent children,2.0,2.0,Less than 10% of my time,40%,Male,Professionals,Somewhat disagree,More than 200,2.0,Neither agree nor disagree,1.0,Strongly agree,Strongly agree,Somewhat disagree,2020,3.0,Metro
Between 6 and 12 months,0.5,I’m 50% more productive when working remotely (or more),1966,"Professional, Scientific and Technical Services",Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,Yes,19,4.0,5.0,Couple with dependent children,8.0,0.5,50% - I spent about half of my time remote working,50% - About half of my time,Male,Sales ,Strongly agree,Between 5 and 19,8.0,Strongly agree,0.0,Strongly agree,Strongly agree,Strongly agree,2020,0.5,Metro
More than 5 years,3.0,I’m 50% more productive when working remotely (or more),1969,Public Administration and Safety,Strongly disagree,Somewhat disagree,Strongly disagree,40%,No,20,8.0,8.0,Couple with dependent children,1.0,3.0,40%,60%,Male,Community and personal service ,Strongly disagree,More than 200,1.5,Strongly disagree,0.5,Strongly disagree,Strongly disagree,Somewhat agree,2020,2.0,Metro
More than 5 years,3.0,My productivity is about same when I work remotely,1961,"Electricity, Gas, Water and Waste Services",Somewhat agree,Strongly agree,Strongly agree,90%,No,21,8.0,8.0,Couple with no dependent children,2.0,2.0,20%,20%,Male,Managers,Somewhat agree,More than 200,4.0,Somewhat agree,0.5,Strongly agree,Somewhat agree,Somewhat agree,2020,3.0,Metro
Between 6 and 12 months,5.0,I’m 30% more productive when working remotely,1969,Administrative and Support Services,Somewhat agree,Somewhat agree,Somewhat agree,60%,No,22,7.0,9.0,Couple with dependent children,9.0,6.0,Rarely or never ,50% - About half of my time,Male,Clerical and administrative ,Somewhat agree,More than 200,9.5,Somewhat agree,0.5,Somewhat agree,Strongly agree,Somewhat agree,2020,2.0,Metro
Between 1 and 5 years,2.0,I’m 20% more productive when working remotely,1959,"Transport, Postal and Warehousing",Neither agree nor disagree,Neither agree nor disagree,Strongly agree,50% - About half of my time,No,23,7.5,7.5,Couple with dependent children,4.0,3.0,80%,50% - About half of my time,Male,Professionals,Neither agree nor disagree,Between 20 and 199,2.0,Strongly agree,1.0,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,2020,1.5,Metro
More than 5 years,4.0,I’m 40% more productive when working remotely,1963,Public Administration and Safety,Somewhat agree,Somewhat agree,Somewhat agree,50% - About half of my time,No,24,8.0,8.0,Couple with no dependent children,10.0,4.0,30%,20%,Male,Clerical and administrative ,Somewhat agree,More than 200,12.0,Somewhat agree,0.0,Somewhat agree,Somewhat agree,Somewhat agree,2020,2.0,Metro
More than 5 years,2.0,I’m 30% more productive when working remotely,1962,Financial and Insurance Services,Somewhat agree,Somewhat agree,Strongly agree,70%,Yes,25,10.0,11.0,Couple with no dependent children,3.0,2.0,10%,70%,Male,Professionals,Somewhat agree,More than 200,5.0,Strongly agree,1.0,Somewhat agree,Strongly agree,Somewhat agree,2020,3.0,Metro
More than 5 years,4.0,I’m 30% less productive when working remotely,1965,Accommodation and Food Services,Strongly disagree,Strongly disagree,Somewhat disagree,Less than 10% of my time,Yes,26,10.0,10.0,Couple with dependent children,10.0,2.0,Less than 10% of my time,Less than 10% of my time,Male,Managers,Strongly disagree,Between 20 and 199,10.0,Strongly disagree,0.0,Strongly disagree,Strongly disagree,Strongly disagree,2020,2.0,Metro
More than 5 years,0.0,I’m 10% less productive when working remotely,1962,Financial and Insurance Services,Strongly agree,Strongly agree,Strongly agree,40%,Yes,27,6.0,8.0,Other one family household,0.5,0.0,Less than 10% of my time,20%,Female,Professionals,Strongly agree,More than 200,1.0,Somewhat agree,0.0,Strongly agree,Strongly agree,Somewhat agree,2020,2.0,Metro
More than 5 years,2.0,My productivity is about same when I work remotely,1963,"Transport, Postal and Warehousing",Neither agree nor disagree,Strongly disagree,,100% - All of my time,No,28,6.0,6.0,Couple with dependent children,8.0,2.0,100% - I spent all of my time remote working,100% - All of my time,Female,Clerical and administrative ,Strongly agree,Between 20 and 199,10.0,,0.5,,,,2020,0.5,Metro
Between 1 and 5 years,6.0,I’m 30% more productive when working remotely,1984,"Professional, Scientific and Technical Services",Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,30%,Yes,29,8.0,8.0,Couple with dependent children,5.0,2.0,40%,30%,Female,Professionals,Neither agree nor disagree,More than 200,6.0,Somewhat agree,1.0,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,2020,1.0,Regional
More than 5 years,1.0,I’m 30% more productive when working remotely,1957,Education and Training,Neither agree nor disagree,Somewhat agree,Strongly agree,60%,No,30,8.0,8.0,Single person,4.0,0.0,50% - I spent about half of my time remote working,60%,Male,Professionals,Somewhat agree,I am the only employee,5.0,Strongly agree,0.0,Strongly agree,Strongly agree,Strongly agree,2020,2.0,Regional
More than 5 years,3.0,I’m 10% less productive when working remotely,1962,Public Administration and Safety,Somewhat agree,Strongly agree,Strongly agree,60%,Yes,31,8.5,9.5,Couple with dependent children,3.0,2.0,10%,30%,Male,Managers,Strongly agree,More than 200,4.0,Somewhat agree,0.0,Strongly agree,Strongly agree,Somewhat agree,2020,1.0,Metro
More than 5 years,1.0,I’m 20% more productive when working remotely,1958,Financial and Insurance Services,Somewhat agree,Somewhat agree,Strongly agree,80%,No,32,8.5,9.5,Couple with dependent children,3.5,1.0,50% - I spent about half of my time remote working,80%,Male,Managers,Somewhat agree,More than 200,3.5,Strongly agree,0.0,Strongly agree,Strongly agree,Strongly agree,2020,4.0,Metro
Between 6 and 12 months,8.0,I’m 30% less productive when working remotely,1961,Arts and Recreation Services,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,30%,Yes,33,8.0,10.0,Couple with no dependent children,8.0,6.0,90%,30%,Male,Managers,Somewhat agree,More than 200,5.0,Neither agree nor disagree,1.0,Strongly agree,Somewhat agree,Strongly disagree,2020,2.0,Metro
Between 6 and 12 months,1.0,I’m 30% more productive when working remotely,1959,Information Media and Telecommunications,Somewhat disagree,Somewhat disagree,Strongly disagree,50% - About half of my time,No,34,6.0,8.0,Couple with dependent children,2.0,1.0,20%,50% - About half of my time,Male,Managers,Strongly disagree,More than 200,2.0,Somewhat agree,1.0,Strongly disagree,Somewhat disagree,Somewhat agree,2020,1.0,Metro
More than 5 years,4.0,My productivity is about same when I work remotely,1980,Retail Trade,Strongly agree,Strongly agree,Somewhat agree,60%,No,35,8.0,8.0,Couple with dependent children,3.0,5.0,Less than 10% of my time,50% - About half of my time,Female,Clerical and administrative ,Strongly agree,More than 200,4.0,Somewhat agree,0.0,Strongly agree,Somewhat agree,Somewhat agree,2020,0.5,Metro
More than 5 years,1.0,My productivity is about same when I work remotely,1991,"Rental, Hiring and Real Estate Services",Somewhat agree,Somewhat agree,Somewhat agree,10%,No,36,9.0,9.0,Single person,4.0,1.0,Rarely or never ,Less than 10% of my time,Female,Clerical and administrative ,Somewhat agree,More than 200,5.0,Strongly agree,0.5,Neither agree nor disagree,Somewhat agree,Somewhat agree,2020,1.5,Metro
More than 5 years,3.0,I’m 30% more productive when working remotely,1973,Information Media and Telecommunications,Somewhat agree,Strongly agree,Strongly agree,50% - About half of my time,Yes,37,10.0,12.0,Couple with dependent children,2.0,2.0,40%,20%,Male,Managers,Somewhat disagree,More than 200,2.0,Strongly agree,0.0,Strongly agree,Strongly agree,Strongly agree,2020,1.0,Metro
Between 1 and 5 years,3.0,I’m 30% more productive when working remotely,1971,Education and Training,Strongly disagree,Strongly disagree,Strongly agree,10%,No,38,12.0,12.0,Single person,2.0,3.0,Rarely or never ,20%,Female,Professionals,Strongly disagree,More than 200,3.0,Strongly agree,0.5,Strongly agree,Strongly agree,Somewhat agree,2020,1.0,Metro
Between 6 and 12 months,1.0,I’m 20% less productive when working remotely,1996,"Professional, Scientific and Technical Services",Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,40%,No,39,8.0,9.0,Single person,4.0,1.0,60%,30%,Male,Professionals,Neither agree nor disagree,More than 200,5.0,Somewhat agree,1.0,Somewhat agree,Somewhat agree,Somewhat agree,2020,3.0,Metro
More than 5 years,2.0,I’m 20% more productive when working remotely,1975,Information Media and Telecommunications,Somewhat agree,Somewhat agree,Strongly agree,50% - About half of my time,Yes,40,8.0,9.0,Couple with dependent children,4.0,2.0,20%,30%,Male,Managers,Somewhat agree,More than 200,4.0,Strongly agree,0.2,Strongly agree,Strongly agree,Strongly agree,2020,1.0,Metro
Between 6 and 12 months,3.0,I’m 20% less productive when working remotely,1996,Arts and Recreation Services,Somewhat disagree,Somewhat disagree,Somewhat disagree,20%,Yes,41,10.0,10.0,Single person,2.0,1.0,Rarely or never ,I would not have preferred to work remotely ,Female,Professionals,Somewhat disagree,Between 20 and 199,3.0,Somewhat disagree,0.5,Somewhat disagree,Strongly disagree,Somewhat disagree,2020,2.0,Metro
Between 6 and 12 months,2.0,I’m 10% more productive when working remotely,1987,"Professional, Scientific and Technical Services",Neither agree nor disagree,Somewhat agree,Strongly agree,50% - About half of my time,No,42,8.5,9.0,Couple with dependent children,4.0,1.0,60%,50% - About half of my time,Male,Professionals,Somewhat agree,More than 200,5.0,Strongly agree,0.5,Strongly agree,Strongly agree,Somewhat agree,2020,2.0,Metro
Between 6 and 12 months,1.0,I’m 30% more productive when working remotely,1966,Health Care and Social Assistance,Strongly agree,Strongly agree,Strongly agree,80%,No,43,8.0,10.0,Couple with no dependent children,2.0,1.0,90%,80%,Female,Community and personal service ,Strongly agree,More than 200,2.0,Strongly agree,0.0,Strongly agree,Strongly agree,Strongly agree,2020,4.0,Metro
Between 1 and 5 years,4.0,I’m 50% more productive when working remotely (or more),1976,Retail Trade,Somewhat disagree,Strongly disagree,Somewhat agree,40%,No,44,7.0,8.0,Single person,11.0,3.0,10%,50% - About half of my time,Female,Managers,Somewhat disagree,Between 5 and 19,12.0,Somewhat disagree,0.0,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,2020,2.0,Metro
More than 5 years,2.0,I’m 20% more productive when working remotely,1967,Other Services,Somewhat agree,Somewhat agree,Strongly agree,50% - About half of my time,No,45,8.0,8.0,Couple with dependent children,5.0,2.0,10%,Less than 10% of my time,Female,Sales ,Somewhat disagree,Between 5 and 19,8.0,Strongly agree,0.5,Somewhat agree,Strongly agree,Somewhat agree,2020,1.0,Metro
More than 5 years,2.0,I’m 20% less productive when working remotely,1965,"Professional, Scientific and Technical Services",Neither agree nor disagree,Somewhat agree,Strongly agree,30%,Yes,46,8.0,6.0,Couple with dependent children,4.0,2.0,30%,40%,Male,Professionals,Somewhat agree,More than 200,6.0,Strongly agree,0.5,Strongly agree,Strongly agree,Strongly agree,2020,1.0,Metro
More than 5 years,2.0,I’m 10% less productive when working remotely,1961,Health Care and Social Assistance,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,80%,No,47,6.0,8.0,Couple with no dependent children,6.0,2.0,10%,20%,Female,Professionals,Somewhat disagree,Between 5 and 19,4.0,Neither agree nor disagree,0.5,Somewhat agree,Somewhat disagree,Somewhat disagree,2020,0.5,Metro
More than 5 years,0.5,I’m 30% more productive when working remotely,1964,Financial and Insurance Services,Strongly disagree,Strongly disagree,Neither agree nor disagree,100% - All of my time,Yes,48,8.0,9.5,Single person,2.5,0.5,Rarely or never ,80%,Male,Managers,Strongly disagree,Between 20 and 199,2.5,Somewhat agree,0.0,Neither agree nor disagree,Strongly agree,Strongly agree,2020,1.5,Metro
More than 5 years,2.0,I’m 10% more productive when working remotely,1978,Retail Trade,Strongly agree,Strongly agree,Strongly agree,40%,Yes,49,8.5,9.0,Couple with no dependent children,3.0,2.0,Less than 10% of my time,40%,Female,Managers,Strongly agree,More than 200,4.0,Somewhat agree,0.5,Strongly agree,Strongly agree,Somewhat agree,2020,2.5,Metro
Between 6 and 12 months,2.0,I’m 30% less productive when working remotely,1979,Information Media and Telecommunications,Strongly agree,Strongly agree,Strongly agree,80%,Yes,50,7.5,10.0,Multiple family household,2.0,0.0,Rarely or never ,40%,Male,Managers,Strongly agree,More than 200,4.0,Strongly agree,0.0,Strongly agree,Strongly agree,Somewhat agree,2020,3.0,Metro
More than 5 years,3.0,I’m 10% less productive when working remotely,1974,Manufacturing,Somewhat agree,Somewhat agree,Strongly agree,70%,No,51,8.0,12.0,Couple with dependent children,11.0,3.0,30%,60%,Male,Clerical and administrative ,Somewhat agree,More than 200,7.0,Strongly agree,0.0,Strongly agree,Strongly agree,Somewhat agree,2020,2.0,Metro
More than 5 years,3.0,My productivity is about same when I work remotely,1969,Arts and Recreation Services,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,60%,No,52,6.0,7.0,Single person,6.0,3.0,30%,30%,Male,Professionals,Strongly agree,I am the only employee,6.0,Strongly agree,0.0,Strongly agree,Somewhat agree,Somewhat disagree,2020,0.1,Regional
Between 1 and 5 years,1.0,I’m 40% more productive when working remotely,1995,Retail Trade,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,20%,Yes,53,8.0,10.0,Couple with no dependent children,1.0,0.0,10%,40%,Female,Sales ,Neither agree nor disagree,Between 5 and 19,2.0,Strongly agree,0.5,Strongly agree,Strongly agree,Strongly agree,2020,2.0,Metro
More than 5 years,4.0,My productivity is about same when I work remotely,1960,Retail Trade,Strongly disagree,Strongly agree,Strongly agree,50% - About half of my time,Yes,54,3.0,2.0,Couple with no dependent children,17.5,3.0,50% - I spent about half of my time remote working,50% - About half of my time,Female,Managers,Strongly disagree,Between 5 and 19,18.0,Strongly agree,0.0,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,2020,0.5,Metro
More than 5 years,4.0,I’m 50% more productive when working remotely (or more),1985,"Transport, Postal and Warehousing",Somewhat agree,Neither agree nor disagree,Strongly agree,60%,Yes,55,10.0,10.0,Single person,11.0,1.5,10%,40%,Male,Managers,Somewhat agree,More than 200,10.0,Somewhat disagree,0.0,Strongly agree,Strongly agree,Strongly disagree,2020,1.5,Metro
More than 5 years,0.5,My productivity is about same when I work remotely,1962,Other Services,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,I would prefer not to work remotely ,No,56,8.0,8.0,Single person,8.0,0.5,Rarely or never ,I would not have preferred to work remotely ,Male,Technicians and trades ,Neither agree nor disagree,More than 200,10.0,Strongly agree,0.5,Strongly agree,Somewhat agree,Strongly agree,2020,1.5,Metro
More than 5 years,3.0,I’m 10% less productive when working remotely,1964,Financial and Insurance Services,Somewhat disagree,Neither agree nor disagree,Strongly agree,50% - About half of my time,Yes,57,8.0,8.0,Couple with dependent children,3.0,2.0,30%,50% - About half of my time,Male,Professionals,Somewhat disagree,Between 20 and 199,3.0,Strongly agree,0.0,Somewhat agree,Somewhat agree,Somewhat agree,2020,1.0,Metro
Between 1 and 5 years,0.0,I’m 20% more productive when working remotely,1965,Health Care and Social Assistance,Neither agree nor disagree,Somewhat agree,Somewhat agree,50% - About half of my time,Yes,58,8.0,7.5,Single person,4.0,0.0,10%,20%,Male,Managers,Neither agree nor disagree,More than 200,6.0,Somewhat agree,0.3,Somewhat agree,Strongly agree,Strongly agree,2020,2.0,Metro
Between 1 and 5 years,3.0,I’m 10% more productive when working remotely,1988,Accommodation and Food Services,Strongly agree,Somewhat agree,Somewhat disagree,50% - About half of my time,Yes,59,6.0,6.0,Couple with no dependent children,5.0,2.0,Less than 10% of my time,50% - About half of my time,Male,Professionals,Strongly agree,More than 200,7.0,Somewhat disagree,0.5,Somewhat disagree,Somewhat disagree,Strongly disagree,2020,1.5,Metro
More than 5 years,5.0,I’m 40% more productive when working remotely,1959,Financial and Insurance Services,Neither agree nor disagree,Strongly agree,Strongly agree,100% - All of my time,Yes,60,8.0,9.0,Couple with no dependent children,4.0,5.0,70%,90%,Male,Professionals,Strongly agree,Between 1 and 4,4.0,Strongly agree,0.0,Strongly agree,Strongly agree,Strongly agree,2020,1.0,Regional
More than 5 years,2.0,I’m 50% more productive when working remotely (or more),1966,Arts and Recreation Services,Somewhat agree,Somewhat agree,Strongly agree,90%,Yes,61,9.0,10.0,Couple with no dependent children,2.0,1.0,Less than 10% of my time,50% - About half of my time,Female,Managers,Strongly agree,More than 200,3.0,Neither agree nor disagree,0.5,Somewhat agree,Somewhat agree,Somewhat agree,2020,3.0,Metro
Between 6 and 12 months,1.0,I’m 30% less productive when working remotely,1960,Financial and Insurance Services,Strongly agree,Strongly agree,Strongly agree,30%,Yes,62,9.0,10.0,Couple with dependent children,2.0,1.0,Rarely or never ,I would not have preferred to work remotely ,Male,Managers,Somewhat agree,More than 200,2.0,Strongly agree,0.0,Somewhat agree,Somewhat agree,Somewhat agree,2020,1.0,Metro
Between 1 and 5 years,2.0,I’m 20% more productive when working remotely,1979,Information Media and Telecommunications,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,Yes,63,9.0,9.0,Multiple family household,3.0,2.0,10%,10%,Female,Managers,Neither agree nor disagree,Between 5 and 19,3.0,Somewhat agree,1.0,Strongly agree,Strongly agree,Somewhat agree,2020,2.5,Metro
More than 5 years,2.0,My productivity is about same when I work remotely,1966,Other Services,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,20%,No,64,3.0,6.0,Single person,18.0,2.0,100% - I spent all of my time remote working,20%,Female,Professionals,Strongly agree,Between 5 and 19,15.0,Somewhat agree,1.0,Strongly agree,Strongly agree,Somewhat agree,2020,1.0,Metro
More than 5 years,1.5,I’m 20% more productive when working remotely,1956,Education and Training,Somewhat disagree,Somewhat agree,Strongly agree,30%,Yes,65,9.0,10.0,Couple with no dependent children,2.0,1.0,Less than 10% of my time,30%,Male,Professionals,Neither agree nor disagree,More than 200,2.0,Strongly agree,1.0,Strongly agree,Somewhat agree,Neither agree nor disagree,2020,3.0,Metro
More than 5 years,2.5,My productivity is about same when I work remotely,1962,Health Care and Social Assistance,Somewhat agree,Somewhat agree,Strongly agree,50% - About half of my time,No,66,7.5,8.5,Couple with no dependent children,3.5,2.0,Rarely or never ,I would not have preferred to work remotely ,Female,Professionals,Somewhat agree,Between 20 and 199,3.5,Strongly agree,0.5,Strongly agree,Strongly agree,Strongly agree,2020,3.0,Metro
More than 5 years,6.0,I’m 20% more productive when working remotely,1957,Public Administration and Safety,Somewhat agree,Somewhat agree,Strongly agree,70%,Yes,67,8.0,8.0,Couple with dependent children,10.0,4.0,70%,80%,Male,Managers,Somewhat agree,More than 200,10.0,Strongly agree,0.0,Strongly agree,Somewhat agree,Somewhat agree,2020,2.0,Metro
More than 5 years,4.0,I’m 40% less productive when working remotely,1986,Health Care and Social Assistance,Somewhat disagree,Neither agree nor disagree,Somewhat agree,50% - About half of my time,Yes,68,9.0,6.0,Single person,4.0,2.0,60%,50% - About half of my time,Male,Clerical and administrative ,Neither agree nor disagree,More than 200,6.0,Strongly agree,0.5,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,2020,1.0,Metro
Between 1 and 5 years,2.0,I’m 30% more productive when working remotely,1987,Arts and Recreation Services,Somewhat disagree,Somewhat disagree,Strongly agree,50% - About half of my time,No,69,8.5,8.5,Other one family household,1.0,1.0,Rarely or never ,50% - About half of my time,Female,Clerical and administrative ,Somewhat disagree,Between 1 and 4,3.0,Somewhat agree,0.5,Somewhat agree,Somewhat agree,Somewhat agree,2020,3.5,Metro
More than 5 years,3.0,I’m 50% more productive when working remotely (or more),1964,Retail Trade,Neither agree nor disagree,Strongly agree,Strongly agree,80%,Yes,70,8.0,9.0,Couple with dependent children,3.0,1.0,Rarely or never ,50% - About half of my time,Female,Professionals,Somewhat agree,More than 200,2.0,Strongly agree,0.5,Strongly agree,Strongly agree,Strongly agree,2020,0.5,Metro
More than 5 years,2.0,I’m 10% less productive when working remotely,1961,"Professional, Scientific and Technical Services",Neither agree nor disagree,Somewhat agree,Strongly agree,80%,Yes,71,8.0,9.0,Couple with no dependent children,2.0,2.0,100% - I spent all of my time remote working,80%,Male,Professionals,Neither agree nor disagree,Between 1 and 4,2.0,Strongly agree,0.0,Strongly agree,Strongly agree,Strongly agree,2020,0.5,Metro
Between 1 and 5 years,2.0,I’m 10% more productive when working remotely,1987,Financial and Insurance Services,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,No,72,7.5,8.0,Couple with dependent children,5.5,2.0,30%,30%,Female,Professionals,Somewhat agree,More than 200,8.0,Somewhat agree,0.0,Strongly agree,Strongly agree,Somewhat agree,2020,3.0,Metro
