response_id,birth_year,gender,industry,occupation,org_size,is_manager,household_type,tenure,location,remote_time_last_year,preferred_remote_last_year,remote_time_this_year,org_encouraged_remote,org_prepared,remote_was_common,easy_permission,easy_collaboration,preferred_remote_this_year,post_covid_preference,expect_employer_encourage,expect_employer_changes,expect_more_choice,productivity_remote,office_commute_hrs,office_working_hrs,office_personal_hrs,office_caring_hrs,remote_commute_hrs,remote_working_hrs,remote_personal_hrs,remote_caring_hrs,feel_better_remote,more_active_remote,feel_better_in_person,policy_sentiment,year
11,1980,Female,"Electricity, Gas, Water and Waste",Professionals - ICT Professionals,More than 200,Yes,Group household,Between 1 and 5 years,Metro,90%,80%,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,80%,90%,Somewhat likely,Very likely,Very likely,I’m 50% more productive when working remotely (or more),2.0,8.0,2.0,4.0,0.0,8.0,4.0,4.0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,2021
12,1959,Male,Construction,Machinery operators and drivers - Mobile Plant Operators,Between 5 and 19,Yes,Couple with dependent children,Between 1 and 5 years,Metro,10%,10%,10%,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,10%,Less than 10% of my time,Somewhat unlikely,Neither unlikely or likely,Somewhat unlikely,I’m 20% more productive when working remotely,1.0,8.0,3.0,4.0,1.0,8.0,3.0,4.0,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat Negative,2021
13,1992,Female,Other Services,Professionals - ICT Professionals,Between 1 and 4,Yes,Couple with dependent children,Between 6 and 12 months,Metro,50% - I spent about half of my time remote working,50% - About half of my time,50% - I spent about half of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,50% - About half of my time,Very likely,Very likely,Very likely,I’m 10% less productive when working remotely,3.0,8.0,2.0,3.0,0.0,12.0,2.0,2.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Positive,2021
14,1968,Female,Administrative and Support,Clerical and administrative workers - General Clerical Workers,More than 200,No,Couple with no dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,20%,50% - I spent about half of my time remote working,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,20%,I would prefer not to work remotely,Very unlikely,Very likely,Very unlikely,I’m 20% less productive when working remotely,2.5,8.0,2.0,3.5,0.0,8.0,3.0,4.0,Strongly disagree,Strongly disagree,Strongly agree,Strongly Positive,2021
15,1976,Male,"Professional, Scientific and Technical",Professionals - Health Professionals,Between 5 and 19,No,Single person,More than 5 years,Metro,80%,80%,80%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,70%,80%,Somewhat likely,Somewhat likely,Somewhat likely,I’m 40% more productive when working remotely,1.0,11.0,2.0,1.0,0.0,12.0,2.0,2.0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Negative,2021
16,1973,Male,Education and Training,Professionals - Education Professionals,More than 200,Yes,Single person,More than 5 years,Metro,30%,50% - About half of my time,10%,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,20%,40%,Neither unlikely or likely,Somewhat likely,Somewhat likely,I’m 50% more productive when working remotely (or more),3.0,8.0,3.0,2.0,2.0,8.0,3.0,3.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Positive,2021
17,1972,Female,Retail Trade,"Managers - Hospitality, Retail and Service Managers",More than 200,No,One parent family with dependent children,Between 1 and 5 years,Regional,30%,10%,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,20%,20%,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,I’m 50% more productive when working remotely (or more),5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat Positive,2021
18,1977,Female,Administrative and Support,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Regional,20%,10%,10%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Less than 10% of my time,10%,Very likely,Very likely,Very likely,I’m 10% more productive when working remotely,3.0,8.0,3.0,3.0,1.0,8.0,4.0,3.0,Somewhat agree,Strongly agree,Somewhat agree,Strongly Positive,2021
19,1978,Male,Construction,Managers - Specialist Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,30%,40%,20%,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,20%,20%,Neither unlikely or likely,Neither unlikely or likely,Somewhat likely,I’m 10% more productive when working remotely,3.0,8.0,3.0,2.0,1.0,8.0,4.0,3.0,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly Positive,2021
20,1995,Female,Retail Trade,Sales workers - Sales Support Workers,More than 200,No,Other one family household,Between 1 and 5 years,Metro,80%,100% - All of my time,80%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,100% - All of my time,100% - All of my time,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,I’m 20% more productive when working remotely,2.5,8.0,3.0,2.5,0.5,8.0,3.0,4.5,Strongly agree,Strongly agree,Somewhat disagree,Somewhat Positive,2021
21,1980,Female,Construction,Community and personal service workers - Hospitality Workers,Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro,20%,20%,20%,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,20%,30%,Very likely,Somewhat likely,Somewhat likely,I’m 50% more productive when working remotely (or more),8.0,2.0,1.0,5.0,2.0,10.0,8.0,2.0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,2021
22,1978,Male,Accommodation and Food,Managers - Specialist Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Regional,30%,30%,30%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,30%,30%,Very likely,Somewhat likely,Somewhat likely,I’m 30% more productive when working remotely,1.0,2.0,5.0,8.0,1.0,8.0,4.0,3.0,Strongly agree,Somewhat agree,Somewhat agree,Strongly Positive,2021
23,1976,Male,Wholesale Trade,Managers - Specialist Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,30%,40%,50% - I spent about half of my time remote working,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,20%,50% - About half of my time,Neither unlikely or likely,Somewhat likely,Somewhat unlikely,I’m 30% more productive when working remotely,2.0,8.0,3.0,3.0,0.0,8.0,5.0,3.0,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither positive nor negative,2021
24,1961,Male,Wholesale Trade,Managers - Specialist Managers,Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Metro,90%,90%,90%,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,90%,90%,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,I’m 50% more productive when working remotely (or more),1.0,4.0,6.0,6.0,0.0,4.0,8.0,4.0,Strongly agree,Strongly agree,Strongly disagree,Neither positive nor negative,2021
25,1965,Female,Education and Training,Clerical and administrative workers - General Clerical Workers,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,Less than 10% of my time,Very unlikely,Very unlikely,Very unlikely,I’m 50% more productive when working remotely (or more),2.0,8.0,4.0,4.0,1.0,8.0,3.0,4.0,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,2021
26,1959,Male,Wholesale Trade,Managers - Specialist Managers,I am a sole trader/owner-operator,No,Couple with dependent children,Between 1 and 5 years,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,100% - All of my time,100% - All of my time,Somewhat likely,Somewhat likely,Very likely,My productivity is about same when I work remotely,1.0,4.0,0.0,11.0,1.0,4.0,0.0,11.0,Strongly agree,Strongly agree,Somewhat agree,Strongly Positive,2021
27,1964,Female,Wholesale Trade,Clerical and administrative workers - General Clerical Workers,More than 200,No,Couple with dependent children,More than 5 years,Metro,70%,50% - About half of my time,20%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,50% - About half of my time,Somewhat likely,Very likely,Somewhat likely,I’m 30% more productive when working remotely,1.0,8.0,4.0,3.0,1.0,8.0,4.0,3.0,Somewhat agree,Somewhat agree,Strongly agree,Strongly Positive,2021
28,1989,Male,Wholesale Trade,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Couple with dependent children,Between 1 and 5 years,Metro,20%,30%,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,10%,10%,Somewhat likely,Neither unlikely or likely,Somewhat likely,I’m 30% more productive when working remotely,1.0,8.0,3.0,5.0,2.0,8.0,3.0,3.0,Somewhat agree,Somewhat agree,Strongly agree,Somewhat Positive,2021
29,1975,Female,Financial and Insurance,Clerical and administrative workers - Clerical and Office Support Workers,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,30%,40%,30%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,70%,80%,Very likely,Very likely,Very likely,I’m 40% more productive when working remotely,2.0,8.0,2.0,4.0,2.0,8.0,2.0,6.0,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,2021
30,1987,Female,Financial and Insurance,Professionals - ICT Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,100% - All of my time,100% - All of my time,Somewhat likely,Somewhat likely,Somewhat likely,I’m 20% more productive when working remotely,3.5,7.5,1.0,2.0,0.0,9.0,3.0,2.0,Strongly agree,Strongly agree,Somewhat disagree,Somewhat Positive,2021
31,1975,Female,Other Services,Technicians and trades workers - Skilled Animal and Horticultural Workers,Between 1 and 4,No,One parent family with dependent children,Between 1 and 5 years,Regional,30%,50% - About half of my time,10%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,My productivity is about same when I work remotely,1.0,6.0,4.0,6.0,1.0,7.0,4.5,4.5,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Positive,2021
32,1979,Female,Information Media and Telecommunications,Professionals - ICT Professionals,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,100% - All of my time,100% - All of my time,Somewhat likely,Somewhat likely,Somewhat likely,I’m 30% more productive when working remotely,2.0,8.0,1.0,4.0,1.0,8.0,1.0,6.0,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly Positive,2021
33,1983,Female,Construction,Professionals - Education Professionals,Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro,20%,40%,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,20%,30%,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,I’m 10% more productive when working remotely,2.0,8.0,4.0,2.0,2.0,8.0,3.0,3.0,Strongly agree,Somewhat agree,Somewhat agree,Neither positive nor negative,2021
34,1974,I would rather not say,"Professional, Scientific and Technical",Professionals - ICT Professionals,Between 20 and 199,No,Multiple family household,More than 5 years,Metro,100% - I spent all of my time remote working,100% - All of my time,60%,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,100% - All of my time,90%,Somewhat unlikely,Somewhat likely,Somewhat unlikely,I’m 20% more productive when working remotely,2.0,7.0,2.0,6.0,0.0,9.0,2.0,6.0,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly Positive,2021
35,1967,Male,"Rental, Hiring and Real Estate","Managers - Chief Executives, General Managers and Legislators",Between 1 and 4,Yes,Other one family household,More than 5 years,Regional,20%,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,20%,20%,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,I’m 20% less productive when working remotely,1.5,8.0,1.0,6.5,0.5,6.0,1.0,9.5,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither positive nor negative,2021
36,1967,Male,Manufacturing,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,Less than 10% of my time,10%,80%,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,50% - About half of my time,20%,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,I’m 10% less productive when working remotely,1.5,8.5,2.0,4.0,0.0,8.5,2.0,5.5,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly Positive,2021
37,1960,Male,Other Services,Managers - Specialist Managers,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,100% - All of my time,20%,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,70%,50% - About half of my time,Somewhat unlikely,Somewhat likely,Somewhat unlikely,I’m 50% more productive when working remotely (or more),3.0,8.0,1.0,4.0,0.0,10.0,1.0,5.0,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither positive nor negative,2021
38,1982,Male,"Transport, Postal and Warehousing","Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,10%,50% - About half of my time,40%,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,60%,70%,Very likely,Very likely,Very likely,I’m 50% more productive when working remotely (or more),2.0,7.0,4.0,3.0,2.0,7.0,3.0,4.0,Strongly agree,Strongly agree,Somewhat disagree,Strongly Positive,2021
39,1979,Male,"Agriculture, Forestry and Fishing","Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Metro,Rarely or never,50% - About half of my time,Rarely or never,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,50% - About half of my time,50% - About half of my time,Somewhat likely,Very likely,Somewhat likely,I’m 40% more productive when working remotely,2.5,8.5,2.0,3.5,0.0,8.5,2.5,5.0,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly Positive,2021
40,1962,Female,Retail Trade,"Professionals - Design, Engineering, Science and Transport Professionals",Between 1 and 4,Yes,Couple with dependent children,Between 6 and 12 months,Metro,50% - I spent about half of my time remote working,90%,100% - I spent all of my time remote working,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,100% - All of my time,100% - All of my time,Somewhat likely,Very likely,Very likely,I’m 50% more productive when working remotely (or more),16.0,3.0,3.0,1.0,16.0,3.0,3.0,1.0,Strongly agree,Strongly agree,Somewhat agree,Strongly Positive,2021
41,1961,Male,"Professional, Scientific and Technical","Professionals - Legal, Social and Welfare Professionals",Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Metro,20%,Less than 10% of my time,10%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Less than 10% of my time,Less than 10% of my time,Neither unlikely or likely,Very likely,Somewhat likely,My productivity is about same when I work remotely,1.0,8.0,3.0,5.0,1.0,8.0,3.0,5.0,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly Positive,2021
42,1983,Male,"Professional, Scientific and Technical",Professionals - Health Professionals,Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,10%,30%,Rarely or never,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I would not have preferred to work remotely,I would prefer not to work remotely,Very likely,Very likely,Very likely,My productivity is about same when I work remotely,1.0,7.0,1.0,7.0,1.0,7.0,1.0,7.0,Strongly disagree,Strongly disagree,Strongly agree,Strongly Positive,2021
43,1965,Male,Construction,"Professionals - Design, Engineering, Science and Transport Professionals",Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,90%,90%,10%,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,90%,50% - About half of my time,Somewhat unlikely,Neither unlikely or likely,Neither unlikely or likely,I’m 50% more productive when working remotely (or more),4.0,8.0,1.0,4.0,0.0,10.0,1.5,4.5,Strongly agree,Somewhat agree,Somewhat agree,Somewhat Positive,2021
44,1981,Female,Information Media and Telecommunications,Professionals - ICT Professionals,More than 200,No,Single person,Between 6 and 12 months,Metro,50% - I spent about half of my time remote working,50% - About half of my time,50% - I spent about half of my time remote working,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,50% - About half of my time,50% - About half of my time,Somewhat likely,Somewhat likely,Somewhat likely,I’m 50% more productive when working remotely (or more),2.0,8.0,2.0,6.0,1.0,8.0,3.0,4.0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,2021
45,1966,Female,"Professional, Scientific and Technical","Professionals - Design, Engineering, Science and Transport Professionals",More than 200,No,Couple with no dependent children,Between 1 and 5 years,Regional,Rarely or never,I would not have preferred to work remotely,30%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,10%,I would prefer not to work remotely,Neither unlikely or likely,Somewhat likely,Very likely,I’m 20% less productive when working remotely,0.25,8.0,2.0,5.0,0.0,8.0,3.0,5.0,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat Positive,2021
46,1974,Female,Wholesale Trade,Clerical and administrative workers - Office Managers and Program Administrators,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,50% - I spent about half of my time remote working,50% - About half of my time,50% - I spent about half of my time remote working,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,50% - About half of my time,50% - About half of my time,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,My productivity is about same when I work remotely,2.0,10.0,2.0,2.0,0.5,10.0,2.0,4.0,Somewhat agree,Somewhat agree,Strongly agree,Neither positive nor negative,2021
47,1978,Male,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Couple with dependent children,More than 5 years,Metro,90%,90%,90%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,90%,80%,Neither unlikely or likely,Neither unlikely or likely,Somewhat likely,My productivity is about same when I work remotely,3.0,9.0,1.0,3.0,1.0,11.0,1.0,3.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Positive,2021
48,1987,Female,"Rental, Hiring and Real Estate","Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,20%,20%,20%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,30%,20%,Somewhat likely,Somewhat likely,Somewhat likely,I’m 30% more productive when working remotely,2.0,8.0,3.0,3.0,3.0,8.0,3.0,2.0,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat Positive,2021
49,1984,Male,Manufacturing,Professionals - ICT Professionals,More than 200,No,Couple with dependent children,More than 5 years,Regional,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,100% - All of my time,100% - All of my time,Very unlikely,Somewhat likely,Somewhat likely,I’m 20% more productive when working remotely,2.0,8.0,5.0,3.0,0.0,10.0,5.0,3.0,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat Positive,2021
50,1983,Male,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,80%,100% - All of my time,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,80%,60%,Somewhat likely,Somewhat likely,Somewhat likely,I’m 30% more productive when working remotely,3.0,7.0,3.0,3.0,1.0,8.0,4.0,4.0,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly Positive,2021
51,1971,Male,Retail Trade,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,50% - I spent about half of my time remote working,50% - About half of my time,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,30%,50% - About half of my time,Somewhat likely,Neither unlikely or likely,Neither unlikely or likely,I’m 50% more productive when working remotely (or more),2.0,10.0,2.0,3.0,1.0,12.0,2.0,4.0,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat Positive,2021
52,1980,Male,Information Media and Telecommunications,Professionals - ICT Professionals,I am a sole trader/owner-operator,No,Couple with dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,50% - About half of my time,50% - I spent about half of my time remote working,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,50% - About half of my time,50% - About half of my time,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,My productivity is about same when I work remotely,10.0,2.0,2.0,2.0,8.0,2.0,2.0,4.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,2021
53,1981,Male,Financial and Insurance,Professionals - ICT Professionals,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,70%,70%,70%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,80%,80%,Somewhat likely,Somewhat likely,Somewhat likely,I’m 50% more productive when working remotely (or more),2.0,8.0,3.0,4.0,0.0,9.0,4.0,4.0,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat Positive,2021
