response_id,birth_year,gender,industry,occupation,org_size,is_manager,household_type,tenure,location,remote_time_last_year,preferred_remote_last_year,remote_time_last_3months,org_encouraged_remote,org_prepared,remote_was_common,easy_permission,easy_collaboration,preferred_remote_last_3months,post_covid_preference,expect_employer_encourage,expect_employer_changes,expect_more_choice,productivity_remote,office_commute_hrs,office_working_hrs,office_personal_hrs,office_caring_hrs,remote_commute_hrs,remote_working_hrs,remote_personal_hrs,remote_caring_hrs,year
15,1962,Female,Construction,Clerical and administrative ,Between 5 and 19,No,Couple with dependent children,More than 5 years,Metro,40%,50% - About half of my time,50% - I spent about half of my time remote working,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Strongly agree,Somewhat agree,Strongly agree,My productivity is about same when I work remotely,1.0,5.0,3.0,2.0,0.5,5.0,4.0,2.0,2020
16,1959,Male,Health Care and Social Assistance,Professionals,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,Rarely or never ,50% - About half of my time,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,80%,80%,Somewhat agree,Somewhat agree,Strongly agree,My productivity is about same when I work remotely,2.5,8.0,4.0,1.5,0.5,9.0,6.0,2.0,2020
17,1971,Female,"Transport, Postal and Warehousing",Clerical and administrative ,Between 1 and 4,No,Couple with no dependent children,More than 5 years,Metro,Rarely or never ,50% - About half of my time,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,100% - All of my time,50% - About half of my time,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 50% more productive when working remotely (or more),0.5,8.0,2.0,2.0,0.25,9.0,2.0,2.0,2020
18,1960,Male,Financial and Insurance Services,Professionals,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,Less than 10% of my time,40%,10%,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,40%,40%,Somewhat disagree,Somewhat agree,Strongly agree,I’m 30% less productive when working remotely,3.0,10.0,2.0,2.0,1.0,12.0,2.0,2.0,2020
19,1966,Male,"Professional, Scientific and Technical Services",Sales ,Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro,50% - I spent about half of my time remote working,50% - About half of my time,30%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,30%,50% - About half of my time,Strongly agree,Strongly agree,Strongly agree,I’m 50% more productive when working remotely (or more),0.5,4.0,8.0,0.5,0.0,5.0,8.0,0.5,2020
20,1969,Male,Public Administration and Safety,Community and personal service ,More than 200,No,Couple with dependent children,More than 5 years,Metro,40%,60%,10%,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,40%,40%,Strongly disagree,Strongly disagree,Somewhat disagree,I’m 50% more productive when working remotely (or more),2.0,8.0,1.0,3.0,0.5,8.0,1.5,3.0,2020
21,1961,Male,"Electricity, Gas, Water and Waste Services",Managers,More than 200,No,Couple with no dependent children,More than 5 years,Metro,20%,20%,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,100% - All of my time,90%,Somewhat agree,Somewhat agree,Strongly agree,My productivity is about same when I work remotely,3.0,8.0,2.0,2.0,0.5,8.0,4.0,3.0,2020
22,1969,Male,Administrative and Support Services,Clerical and administrative ,More than 200,No,Couple with dependent children,Between 6 and 12 months,Metro,Rarely or never ,50% - About half of my time,90%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,70%,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 30% more productive when working remotely,2.0,7.0,9.0,6.0,0.5,9.0,9.5,5.0,2020
23,1959,Male,"Transport, Postal and Warehousing",Professionals,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,80%,50% - About half of my time,80%,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,80%,50% - About half of my time,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 20% more productive when working remotely,1.5,7.5,4.0,3.0,1.0,7.5,2.0,2.0,2020
24,1963,Male,Public Administration and Safety,Clerical and administrative ,More than 200,No,Couple with no dependent children,More than 5 years,Metro,30%,20%,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,I’m 40% more productive when working remotely,2.0,8.0,10.0,4.0,0.0,8.0,12.0,4.0,2020
25,1962,Male,Financial and Insurance Services,Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,10%,70%,90%,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,100% - All of my time,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 30% more productive when working remotely,3.0,10.0,3.0,2.0,1.0,11.0,5.0,2.0,2020
26,1965,Male,Accommodation and Food Services,Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,Less than 10% of my time,Less than 10% of my time,Less than 10% of my time,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Less than 10% of my time,Less than 10% of my time,Strongly disagree,Strongly disagree,Strongly disagree,I’m 30% less productive when working remotely,2.0,10.0,10.0,2.0,0.0,10.0,10.0,4.0,2020
27,1962,Female,Financial and Insurance Services,Professionals,More than 200,Yes,Other one family household,More than 5 years,Metro,Less than 10% of my time,20%,80%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,40%,40%,Strongly agree,Strongly agree,Strongly agree,I’m 10% less productive when working remotely,2.0,6.0,0.5,0.0,0.0,8.0,1.0,0.0,2020
28,1963,Female,"Transport, Postal and Warehousing",Clerical and administrative ,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,100% - All of my time,Rarely or never ,,,,,,I would not have preferred to work remotely ,100% - All of my time,Strongly agree,Neither agree nor disagree,Strongly disagree,My productivity is about same when I work remotely,0.5,6.0,8.0,2.0,0.5,6.0,10.0,2.0,2020
29,1984,Female,"Professional, Scientific and Technical Services",Professionals,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Regional,40%,30%,30%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,30%,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,I’m 30% more productive when working remotely,1.0,8.0,5.0,2.0,1.0,8.0,6.0,6.0,2020
30,1957,Male,Education and Training,Professionals,I am the only employee,No,Single person,More than 5 years,Regional,50% - I spent about half of my time remote working,60%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,60%,60%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 30% more productive when working remotely,2.0,8.0,4.0,0.0,0.0,8.0,5.0,1.0,2020
31,1962,Male,Public Administration and Safety,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,10%,30%,80%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,80%,60%,Strongly agree,Somewhat agree,Strongly agree,I’m 10% less productive when working remotely,1.0,8.5,3.0,2.0,0.0,9.5,4.0,3.0,2020
32,1958,Male,Financial and Insurance Services,Managers,More than 200,No,Couple with dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,80%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,80%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,4.0,8.5,3.5,1.0,0.0,9.5,3.5,1.0,2020
33,1961,Male,Arts and Recreation Services,Managers,More than 200,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,90%,30%,90%,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,30%,30%,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,I’m 30% less productive when working remotely,2.0,8.0,8.0,6.0,1.0,10.0,5.0,8.0,2020
34,1959,Male,Information Media and Telecommunications,Managers,More than 200,No,Couple with dependent children,Between 6 and 12 months,Metro,20%,50% - About half of my time,100% - I spent all of my time remote working,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,50% - About half of my time,50% - About half of my time,Strongly disagree,Somewhat disagree,Somewhat disagree,I’m 30% more productive when working remotely,1.0,6.0,2.0,1.0,1.0,8.0,2.0,1.0,2020
35,1980,Female,Retail Trade,Clerical and administrative ,More than 200,No,Couple with dependent children,More than 5 years,Metro,Less than 10% of my time,50% - About half of my time,90%,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,100% - All of my time,60%,Strongly agree,Strongly agree,Strongly agree,My productivity is about same when I work remotely,0.5,8.0,3.0,5.0,0.0,8.0,4.0,4.0,2020
36,1991,Female,"Rental, Hiring and Real Estate Services",Clerical and administrative ,More than 200,No,Single person,More than 5 years,Metro,Rarely or never ,Less than 10% of my time,20%,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,20%,10%,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,1.5,9.0,4.0,1.0,0.5,9.0,5.0,1.0,2020
37,1973,Male,Information Media and Telecommunications,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,40%,20%,50% - I spent about half of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,50% - About half of my time,Somewhat disagree,Somewhat agree,Strongly agree,I’m 30% more productive when working remotely,1.0,10.0,2.0,2.0,0.0,12.0,2.0,3.0,2020
38,1971,Female,Education and Training,Professionals,More than 200,No,Single person,Between 1 and 5 years,Metro,Rarely or never ,20%,40%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,100% - All of my time,10%,Strongly disagree,Strongly disagree,Strongly disagree,I’m 30% more productive when working remotely,1.0,12.0,2.0,3.0,0.5,12.0,3.0,3.0,2020
39,1996,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Single person,Between 6 and 12 months,Metro,60%,30%,60%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,70%,40%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 20% less productive when working remotely,3.0,8.0,4.0,1.0,1.0,9.0,5.0,1.0,2020
40,1975,Male,Information Media and Telecommunications,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,20%,30%,90%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1.0,8.0,4.0,2.0,0.2,9.0,4.0,2.0,2020
41,1996,Female,Arts and Recreation Services,Professionals,Between 20 and 199,Yes,Single person,Between 6 and 12 months,Metro,Rarely or never ,I would not have preferred to work remotely ,20%,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,10%,20%,Somewhat disagree,Somewhat disagree,Somewhat disagree,I’m 20% less productive when working remotely,2.0,10.0,2.0,1.0,0.5,10.0,3.0,3.0,2020
42,1987,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Couple with dependent children,Between 6 and 12 months,Metro,60%,50% - About half of my time,90%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,80%,50% - About half of my time,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 10% more productive when working remotely,2.0,8.5,4.0,1.0,0.5,9.0,5.0,2.0,2020
43,1966,Female,Health Care and Social Assistance,Community and personal service ,More than 200,No,Couple with no dependent children,Between 6 and 12 months,Metro,90%,80%,90%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,90%,80%,Strongly agree,Strongly agree,Strongly agree,I’m 30% more productive when working remotely,4.0,8.0,2.0,1.0,0.0,10.0,2.0,1.0,2020
44,1976,Female,Retail Trade,Managers,Between 5 and 19,No,Single person,Between 1 and 5 years,Metro,10%,50% - About half of my time,60%,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,60%,40%,Somewhat disagree,Somewhat disagree,Strongly disagree,I’m 50% more productive when working remotely (or more),2.0,7.0,11.0,3.0,0.0,8.0,12.0,4.0,2020
45,1967,Female,Other Services,Sales ,Between 5 and 19,No,Couple with dependent children,More than 5 years,Metro,10%,Less than 10% of my time,90%,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Somewhat disagree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1.0,8.0,5.0,2.0,0.5,8.0,8.0,2.0,2020
46,1965,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,30%,40%,80%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,30%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% less productive when working remotely,1.0,8.0,4.0,2.0,0.5,6.0,6.0,2.0,2020
47,1961,Female,Health Care and Social Assistance,Professionals,Between 5 and 19,No,Couple with no dependent children,More than 5 years,Metro,10%,20%,100% - I spent all of my time remote working,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat disagree,80%,80%,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.5,6.0,6.0,2.0,0.5,8.0,4.0,2.0,2020
48,1964,Male,Financial and Insurance Services,Managers,Between 20 and 199,Yes,Single person,More than 5 years,Metro,Rarely or never ,80%,100% - I spent all of my time remote working,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,100% - All of my time,100% - All of my time,Strongly disagree,Strongly disagree,Strongly disagree,I’m 30% more productive when working remotely,1.5,8.0,2.5,0.5,0.0,9.5,2.5,0.5,2020
49,1978,Female,Retail Trade,Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,Less than 10% of my time,40%,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,40%,40%,Strongly agree,Strongly agree,Strongly agree,I’m 10% more productive when working remotely,2.5,8.5,3.0,2.0,0.5,9.0,4.0,2.0,2020
50,1979,Male,Information Media and Telecommunications,Managers,More than 200,Yes,Multiple family household,Between 6 and 12 months,Metro,Rarely or never ,40%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,70%,80%,Strongly agree,Strongly agree,Strongly agree,I’m 30% less productive when working remotely,3.0,7.5,2.0,0.0,0.0,10.0,4.0,2.0,2020
51,1974,Male,Manufacturing,Clerical and administrative ,More than 200,No,Couple with dependent children,More than 5 years,Metro,30%,60%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,80%,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 10% less productive when working remotely,2.0,8.0,11.0,3.0,0.0,12.0,7.0,3.0,2020
52,1969,Male,Arts and Recreation Services,Professionals,I am the only employee,No,Single person,More than 5 years,Regional,30%,30%,80%,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,70%,60%,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,My productivity is about same when I work remotely,0.1,6.0,6.0,3.0,0.0,7.0,6.0,3.0,2020
53,1995,Female,Retail Trade,Sales ,Between 5 and 19,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,10%,40%,90%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,90%,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 40% more productive when working remotely,2.0,8.0,1.0,0.0,0.5,10.0,2.0,1.0,2020
54,1960,Female,Retail Trade,Managers,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,50% - About half of my time,50% - I spent about half of my time remote working,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,50% - About half of my time,50% - About half of my time,Strongly disagree,Strongly disagree,Strongly agree,My productivity is about same when I work remotely,0.5,3.0,17.5,3.0,0.0,2.0,18.0,4.0,2020
55,1985,Male,"Transport, Postal and Warehousing",Managers,More than 200,Yes,Single person,More than 5 years,Metro,10%,40%,20%,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,80%,60%,Somewhat agree,Somewhat agree,Neither agree nor disagree,I’m 50% more productive when working remotely (or more),1.5,10.0,11.0,1.5,0.0,10.0,10.0,4.0,2020
56,1962,Male,Other Services,Technicians and trades ,More than 200,No,Single person,More than 5 years,Metro,Rarely or never ,I would not have preferred to work remotely ,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,I would not have preferred to work remotely ,I would prefer not to work remotely ,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,My productivity is about same when I work remotely,1.5,8.0,8.0,0.5,0.5,8.0,10.0,0.5,2020
57,1964,Male,Financial and Insurance Services,Professionals,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,30%,50% - About half of my time,50% - I spent about half of my time remote working,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,1.0,8.0,3.0,2.0,0.0,8.0,3.0,3.0,2020
58,1965,Male,Health Care and Social Assistance,Managers,More than 200,Yes,Single person,Between 1 and 5 years,Metro,10%,20%,10%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,50% - About half of my time,50% - About half of my time,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,2.0,8.0,4.0,0.0,0.3,7.5,6.0,0.0,2020
59,1988,Male,Accommodation and Food Services,Professionals,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,Less than 10% of my time,50% - About half of my time,40%,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,50% - About half of my time,50% - About half of my time,Strongly agree,Strongly agree,Somewhat agree,I’m 10% more productive when working remotely,1.5,6.0,5.0,2.0,0.5,6.0,7.0,3.0,2020
60,1959,Male,Financial and Insurance Services,Professionals,Between 1 and 4,Yes,Couple with no dependent children,More than 5 years,Regional,70%,90%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Strongly agree,Neither agree nor disagree,Strongly agree,I’m 40% more productive when working remotely,1.0,8.0,4.0,5.0,0.0,9.0,4.0,5.0,2020
61,1966,Female,Arts and Recreation Services,Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,Less than 10% of my time,50% - About half of my time,90%,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,90%,90%,Strongly agree,Somewhat agree,Somewhat agree,I’m 50% more productive when working remotely (or more),3.0,9.0,2.0,1.0,0.5,10.0,3.0,2.0,2020
62,1960,Male,Financial and Insurance Services,Managers,More than 200,Yes,Couple with dependent children,Between 6 and 12 months,Metro,Rarely or never ,I would not have preferred to work remotely ,80%,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,50% - About half of my time,30%,Somewhat agree,Strongly agree,Strongly agree,I’m 30% less productive when working remotely,1.0,9.0,2.0,1.0,0.0,10.0,2.0,1.0,2020
63,1979,Female,Information Media and Telecommunications,Managers,Between 5 and 19,Yes,Multiple family household,Between 1 and 5 years,Metro,10%,10%,80%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,40%,50% - About half of my time,Neither agree nor disagree,Strongly agree,Strongly agree,I’m 20% more productive when working remotely,2.5,9.0,3.0,2.0,1.0,9.0,3.0,2.0,2020
64,1966,Female,Other Services,Professionals,Between 5 and 19,No,Single person,More than 5 years,Metro,100% - I spent all of my time remote working,20%,Less than 10% of my time,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Less than 10% of my time,20%,Strongly agree,Strongly disagree,Neither agree nor disagree,My productivity is about same when I work remotely,1.0,3.0,18.0,2.0,1.0,6.0,15.0,2.0,2020
65,1956,Male,Education and Training,Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,Less than 10% of my time,30%,80%,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,80%,30%,Neither agree nor disagree,Somewhat disagree,Somewhat agree,I’m 20% more productive when working remotely,3.0,9.0,2.0,1.0,1.0,10.0,2.0,1.5,2020
66,1962,Female,Health Care and Social Assistance,Professionals,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,Rarely or never ,I would not have preferred to work remotely ,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,3.0,7.5,3.5,2.0,0.5,8.5,3.5,2.5,2020
67,1957,Male,Public Administration and Safety,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,70%,80%,50% - I spent about half of my time remote working,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,70%,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,2.0,8.0,10.0,4.0,0.0,8.0,10.0,6.0,2020
